,energy_demand,solar_irradiance,wind_speed,rate_consumption_charge
112,116.40643829808005,98.1155,12.24,0.6
113,163.79459255797,53.2925,12.636,0.8999999999999999
114,189.57568169077,1.4129,14.4,0.8999999999999999
115,185.00218120005994,0.0518,16.2,0.8999999999999999
116,172.40014672207005,0.0572,17.316,0.8999999999999999
117,158.72929059080997,0.0595,21.096,0.8999999999999999
118,132.11875472195007,0.0657,23.652,0.6
119,105.960070467066,0.0989,25.452,0.6
120,80.84386590668599,0.0982,24.48,0.6
121,72.51387025596298,0.1229,20.304,0.6
122,70.340671854416,0.1461,19.188000000000002,0.6
123,71.12502504231199,0.0209,22.176000000000002,0.6
124,73.50960159690496,0.0008,22.68,0.6
125,80.861637435064,0.0557,22.788,0.6
126,108.43439087630101,0.0549,20.628000000000004,0.6
127,133.29603153939,0.5139,19.152,0.6
